	TENATOPRAZOLE	DANAZOL	PANTOPRAZOLE	ARTEMISININ	OMEPRAZOLE	MELPHALAN	BISACODYL	DIACETAMATE	ENTACAPONE	TINIDAZOLE	NITRENDIPINE	PHENAZOPYRIDINE	SULFASALAZINE	RISPERIDONE	PALIPERIDONE	TACROLIMUS	CARVEDILOL	PIDOTIMOD	IDEBENONE	METHOXSALEN	LEVAMISOLE	LOVASTATIN	MEVASTATIN	PERICYAZINE	FINASTERIDE	BETAMETHASONE VALERATE	NORGESTIMATE	CAPECITABINE	CARBETAPENTANE CITRATE	ITRACONAZOLE	DULOXETINE	MEFLOQUINE	DICYCLOMINE	PIMOZIDE	PACLITAXEL	REPAGLINIDE	INDOMETHACIN	RAMIPRIL	EZETIMIBE	CELECOXIB	BENZBROMARONE	RANITIDINE	ZIPRASIDONE MESYLATE	NAFRONYL OXALATE	PHENYTOIN SODIUM	PENBUTOLOL SULFATE	CHLORMEZANONE	BUPROPION	AMANTADINE	METITEPINE MALEATE	TRIMETAZIDINE DIHYDROCHLORIDE	BICALUTAMIDE	TRANILAST	SULPIRIDE	ETHOXZOLAMIDE	METHYSERGIDE MALEATE	RIZATRIPTAN BENZOATE	BIPERIDEN	IMATINIB	VERAPAMIL	CAMYLOFINE DIHYDROCHLORIDE	ACECAINIDE	LOFEXIDINE	METOPROLOL TARTRATE	IRSOGLADINE MALEATE	MEMANTINE	ALPRENOLOL	DIPHENYLPYRALINE	ALFUZOSIN	PAPAVERINE	OXCARBAZEPINE	METHSUXIMIDE	PAROXETINE	ESZOPICLONE	ANAGRELIDE	ETHOPROPAZINE	DIPYRIDAMOLE	DOXAZOSIN MESYLATE	TRIHEXYPHENIDYL	METHYLPHENIDATE	FLUVOXAMINE MALEATE	THIOTHIXENE	CYCLOBENZAPRINE	BENZTHIAZIDE	NEVIRAPINE	VINPOCETINE	ANASTROZOLE	SILDENAFIL CITRATE	CLEMIZOLE	ORPHENADRINE CITRATE	ENALAPRIL MALEATE	CYCLOPHOSPHAMIDE	NOSCAPINE	ZIDOVUDINE [AZT]	SUMATRIPTAN SUCCINATE	TADALAFIL	GLICLAZIDE	BEZAFIBRATE	WARFARIN	NAPROXEN(+)	PROCARBAZINE	NAFTOPIDIL	OLANZAPINE	FLUCONAZOLE	CLONIDINE	NEOSTIGMINE BROMIDE	CIMETIDINE	FEBUXOSTAT	COLCHICINE	KETOROLAC TROMETHAMINE	METAXALONE	ZALEPLON	MIFEPRISTONE	OXYBUTYNIN CHLORIDE	RITONAVIR	DROSPIRENONE	BUDESONIDE	GLIPIZIDE	SULFINPYRAZONE	ETODOLAC	NATEGLINIDE	VORICONAZOLE	VALSARTAN	LOSARTAN	IRBESARTAN	REBAMIPIDE	NIZATIDINE	ERGONOVINE MALEATE	DASATINIB	PRIMAQUINE PHOSPHATE	NICERGOLINE	DEXAMETHASONE	ERGOTAMINE TARTRATE	NALOXONE	FENSPIRIDE	GALANTAMINE	SOTALOL	BETAMETHASONE ACETATE	DIGOXIN	DIGITOXIN	CLOPIDOGREL SULFATE	RILUZOLE	MEBENDAZOLE	RAMELTEON	CYPROTERONE ACETATE	OXAPROZIN	BENAZEPRIL	GRISEOFULVIN	TRANDOLAPRIL	QUINAPRIL	CETIRIZINE	CARISOPRODOL	TOLAZAMIDE	PRANOPROFEN	FAMPROFAZONE	TELMISARTAN	CLEMASTINE FUMARATE	LOPERAMIDE	MEGESTROL ACETATE	TRIMEBUTINE MALEATE	FENOFIBRATE	FLUPHENAZINE	DILTIAZEM	LEVONORGESTREL	DEFLAZACORT	DIFLORASONE DIACETATE	LINAGLIPTIN	OLMESARTAN MEDOXOMIL	FLUOXETINE	MYCOPHENOLATE MOFETIL	BROMOCRIPTINE MESYLATE	RACECADOTRIL	ROXATIDINE ACETATE	FAMCICLOVIR	VILAZODONE	NORETHINDRONE ACETATE
TENATOPRAZOLE	1	0.308758648	0.948511357	0.157169421	0.964902185	0.536571305	0.849273343	0.630964516	0.611241511	0.490975934	0.491538045	0.625486142	0.824246639	0.598788373	0.592404092	0.147204386	0.833239103	0.299163641	0.180100018	0.398621299	0.548427461	0.162785491	0.162989835	0.533500479	0.25006178	0.12561939	0.185210693	0.271791599	0.455411088	0.690835018	0.512792071	0.788366707	0.25007003	0.580921695	0.394022285	0.568564652	0.785699956	0.447462426	0.603216315	0.692711403	0.382391717	0.588730686	0.589607356	0.465639261	0.523258627	0.548623172	0.47825287	0.479353505	0.243368161	0.541236837	0.507931415	0.51302844	0.567647682	0.521774373	0.839169631	0.736035402	0.710999395	0.51233455	0.690426715	0.505046221	0.478476614	0.539024901	0.577046093	0.567239151	0.615563878	0.2406364	0.580574732	0.528062043	0.820338357	0.853923988	0.549250317	0.511347286	0.48604046	0.642949601	0.540462765	0.554616812	0.570635139	0.810650702	0.508069057	0.489521301	0.528726885	0.522587612	0.536686231	0.49488286	0.683384333	0.766780103	0.659618541	0.509615641	0.634177646	0.523913362	0.474499113	0.259983735	0.426167505	0.276084761	0.718205562	0.81170176	0.483225888	0.476307892	0.415285094	0.424574582	0.507809755	0.652905195	0.577652034	0.688334983	0.551116437	0.636562354	0.495095606	0.829257584	0.471953308	0.761308031	0.552847046	0.69685425	0.360010429	0.461196932	0.679458687	0.156993257	0.108761417	0.69027318	0.531063084	0.792120652	0.495137723	0.706468643	0.560775039	0.617654275	0.571623497	0.524089244	0.467933031	0.726336762	0.63342904	0.886574805	0.775549915	0.140383417	0.702847442	0.438776946	0.50657754	0.509649272	0.584070787	0.127597626	0.092095459	0.093612968	0.443610373	0.849218281	0.678752013	0.512258518	0.15430244	0.781636015	0.523452131	0.391280071	0.463669081	0.494614496	0.483393196	0.267071239	0.48820566	0.836105174	0.557006298	0.700028658	0.49735642	0.457357719	0.16269283	0.431235917	0.436428468	0.551943129	0.565823262	0.197539351	0.122418526	0.122015662	0.653697793	0.617987554	0.528410744	0.394357212	0.692165758	0.496676621	0.556032442	0.541284463	0.805868961	0.170966772
DANAZOL	0.308758648	1	0.28813447	0.76530332	0.308788738	0.730808666	0.40810678	0.533476531	0.570865249	0.512890043	0.769433007	0.518724387	0.410701302	0.5538311	0.547290393	0.743869798	0.391613304	0.758767062	0.788021408	0.559500264	0.632813961	0.767013754	0.767022002	0.586756349	0.85039217	0.774717859	0.847678619	0.721778915	0.764861221	0.480767747	0.552789265	0.439610755	0.795097587	0.650476908	0.6796059	0.592140075	0.421393356	0.74712338	0.625529309	0.480403734	0.552522954	0.507263687	0.546473164	0.743734751	0.718068237	0.556129266	0.675709522	0.750787511	0.778641914	0.628965935	0.537613795	0.621467601	0.582367751	0.52298845	0.365486844	0.420339782	0.462044255	0.674184739	0.439898449	0.565410027	0.752970068	0.723048006	0.532532354	0.566381452	0.516545156	0.791690385	0.549630481	0.653663199	0.340255369	0.391301488	0.710878818	0.721362088	0.551378006	0.418382024	0.605483507	0.611447197	0.492464223	0.338112268	0.686150886	0.74853175	0.687689989	0.630694963	0.67973154	0.604260315	0.444075886	0.432428182	0.515898137	0.511101179	0.508569361	0.661449835	0.740490795	0.748129469	0.558543177	0.717469839	0.457221797	0.381709239	0.64147671	0.579464305	0.581080464	0.58532741	0.744874692	0.514677122	0.583798419	0.486703865	0.597416913	0.539159968	0.527487364	0.391237518	0.529569693	0.464826508	0.556638996	0.456187073	0.942377626	0.739129854	0.397168086	0.812782582	0.752525568	0.430142685	0.643403163	0.429974067	0.747412643	0.469887107	0.59798974	0.508630656	0.577136999	0.714775025	0.536170999	0.415777816	0.412200594	0.36456669	0.383724531	0.788879768	0.372027569	0.538124373	0.704845563	0.539188365	0.672856673	0.776447438	0.730854443	0.733009852	0.700354236	0.350539038	0.48054557	0.554641182	0.807221897	0.440919252	0.722851146	0.546648122	0.745443569	0.720423361	0.686747351	0.768247351	0.65020779	0.406894442	0.687045135	0.456013655	0.643510655	0.692673259	0.811018903	0.579600503	0.572601352	0.59261484	0.614285286	0.855893705	0.763722632	0.772413989	0.453508065	0.490643874	0.591414142	0.554349785	0.364152867	0.706776646	0.566592734	0.498288621	0.356926839	0.827545659
PANTOPRAZOLE	0.948511357	0.28813447	1	0.134304803	0.970115439	0.517887535	0.839602922	0.632603905	0.612348531	0.450324109	0.475946258	0.588547307	0.794155141	0.590100661	0.586359863	0.129656531	0.843060855	0.269993607	0.15662702	0.402309451	0.521120225	0.14179734	0.141984377	0.511607096	0.225039607	0.105017451	0.16339434	0.24236344	0.440148725	0.702735414	0.512895185	0.774728934	0.224261428	0.555168721	0.393128352	0.5701309	0.781660607	0.42821095	0.599357497	0.667933306	0.383134766	0.590332597	0.556616489	0.449277967	0.497423386	0.550463781	0.455019764	0.458171833	0.216387106	0.517315849	0.517610587	0.491770477	0.568878505	0.523247582	0.8296613	0.714559426	0.680646921	0.503194739	0.65262435	0.510862493	0.46131063	0.516516115	0.574998057	0.56789536	0.578380138	0.213367653	0.582661664	0.520515534	0.850969912	0.855894087	0.524779596	0.487697923	0.493029242	0.603456261	0.507533902	0.528965455	0.53036561	0.842364738	0.49846365	0.473051528	0.510416125	0.50008367	0.515495772	0.467359689	0.645098145	0.749105551	0.630120876	0.510854169	0.59783749	0.51375465	0.454367482	0.231422705	0.434519157	0.247063524	0.692224287	0.822290091	0.460111721	0.476991661	0.414887257	0.423700475	0.485072781	0.661035075	0.549336956	0.65829259	0.518173657	0.638320355	0.454966205	0.818676158	0.481210636	0.74147388	0.553276996	0.661281169	0.339310331	0.449685303	0.651405269	0.135154077	0.0891157	0.657121348	0.507107079	0.781381038	0.475945495	0.674600954	0.531071266	0.583016122	0.540661663	0.504458013	0.427865609	0.706624036	0.597015381	0.888761004	0.765077499	0.119807841	0.688562247	0.448415133	0.487484683	0.518007272	0.573319815	0.106971805	0.072252188	0.073757597	0.423084167	0.839340269	0.642131443	0.514526074	0.130939136	0.769019917	0.505347009	0.395129107	0.444981867	0.476856386	0.466782193	0.239169462	0.465342235	0.822538795	0.533057533	0.663838315	0.48957513	0.448066325	0.140440503	0.436912691	0.437496277	0.529976217	0.560747325	0.17597419	0.104736323	0.101334494	0.615834656	0.583625913	0.52786566	0.40078515	0.681994479	0.482430097	0.557490882	0.500678609	0.807764655	0.148567737
ARTEMISININ	0.157169421	0.76530332	0.134304803	1	0.153387912	0.541653154	0.235112129	0.369118836	0.387874769	0.426490178	0.574809908	0.375201487	0.242038896	0.35239286	0.346339897	0.873278456	0.218234725	0.79708192	0.918529375	0.459133403	0.50464597	0.914087077	0.914066348	0.426924708	0.876339775	0.886886459	0.886626906	0.802082781	0.637432787	0.336146174	0.450899625	0.263709331	0.885814411	0.476140877	0.571127722	0.418755059	0.235367704	0.617337371	0.437320895	0.313928436	0.466986389	0.357705992	0.382150286	0.633627537	0.575505787	0.449849758	0.543592319	0.587113667	0.851441274	0.493454236	0.412452708	0.445728227	0.413593887	0.382239371	0.193939006	0.247059641	0.307256279	0.556033332	0.287895144	0.443933501	0.596620922	0.536610059	0.432415826	0.447302089	0.373933462	0.860561279	0.431170992	0.531204554	0.175934734	0.219389643	0.519548012	0.589258221	0.443362972	0.275977531	0.462140441	0.4544701	0.372959067	0.171477522	0.557667395	0.604008205	0.582897446	0.505169869	0.559496056	0.466334366	0.294548888	0.254185598	0.395069274	0.373047713	0.355870641	0.549536907	0.607706858	0.829375388	0.446103731	0.796989687	0.292927433	0.203001743	0.544985007	0.445871358	0.482335462	0.493607385	0.573511234	0.372053449	0.429990092	0.363888894	0.461471113	0.369642217	0.434930831	0.213415532	0.413577779	0.279064085	0.437103503	0.31406942	0.721499486	0.615724079	0.231214606	0.915892251	0.895435967	0.270128441	0.468991772	0.247642862	0.604256281	0.339793235	0.482043799	0.38495992	0.460906287	0.521356559	0.456997802	0.243565103	0.262428602	0.196436941	0.202285103	0.886600051	0.195347335	0.435556108	0.582168279	0.42585967	0.500560837	0.887789195	0.902255425	0.902772026	0.565231132	0.182740617	0.31848534	0.444275108	0.896257586	0.254790615	0.544032938	0.438991159	0.609338376	0.56825447	0.550300914	0.843211316	0.542493346	0.231209707	0.506486477	0.2940235	0.535411138	0.574770783	0.906338839	0.464377922	0.454130527	0.430724719	0.446915292	0.886820842	0.854995721	0.884286299	0.306608074	0.368624319	0.475349498	0.457174127	0.18479708	0.570944804	0.429319197	0.390838594	0.174998453	0.905847277
OMEPRAZOLE	0.964902185	0.308788738	0.970115439	0.153387912	1	0.53722666	0.862487559	0.638955208	0.621923891	0.476835059	0.494052823	0.614271927	0.822378037	0.610582051	0.605972092	0.146471419	0.858856234	0.290881118	0.176360435	0.406886882	0.54055034	0.160048182	0.160235424	0.530867983	0.245546541	0.124016091	0.183326152	0.263398969	0.455184619	0.704807399	0.516292572	0.798656285	0.244191743	0.577881819	0.402723448	0.579906215	0.801668205	0.445086705	0.612980379	0.691104936	0.387732483	0.593475467	0.58162435	0.463999199	0.517726381	0.55410472	0.472554187	0.476512096	0.23684411	0.535738477	0.519772795	0.511709352	0.577604779	0.527083648	0.838878026	0.74016104	0.705322462	0.514728918	0.680013282	0.514599843	0.477950118	0.537542535	0.577984276	0.572466019	0.603616043	0.234202112	0.586423143	0.530477637	0.851185015	0.87505568	0.547511592	0.506309303	0.495544945	0.631219805	0.530329349	0.549794781	0.557349785	0.843225399	0.510261154	0.488782533	0.524638863	0.51721303	0.531954038	0.486992656	0.672766537	0.774469896	0.649802813	0.514365033	0.623823683	0.524304866	0.471484471	0.251947448	0.438564686	0.267692782	0.716614937	0.837077446	0.476288297	0.483185145	0.420561353	0.429191687	0.504894478	0.66451911	0.571339032	0.678265339	0.540475228	0.645379173	0.481323289	0.834444303	0.482949179	0.766689788	0.55738308	0.686579421	0.360101236	0.462825698	0.677841933	0.154796338	0.107774015	0.684606659	0.528168516	0.805119986	0.492866323	0.696310068	0.551319089	0.60542555	0.561353346	0.524344184	0.454051732	0.73090099	0.623774497	0.909858543	0.788778811	0.139419742	0.711509741	0.451151829	0.503465103	0.520371162	0.588244833	0.1260688	0.090635353	0.092209923	0.43939724	0.845834501	0.669476069	0.517900379	0.15109986	0.792100021	0.523786896	0.399691794	0.4618366	0.493611228	0.482095804	0.259746031	0.481740286	0.845740676	0.554782297	0.691224307	0.498580921	0.459291547	0.160040951	0.442053312	0.443139843	0.549736721	0.571915273	0.195957654	0.122577896	0.120362036	0.643194099	0.605581929	0.533400453	0.404874603	0.703536479	0.496220843	0.562716481	0.527533455	0.827040793	0.168425029
MELPHALAN	0.536571305	0.730808666	0.517887535	0.541653154	0.53722666	1	0.626735099	0.733998861	0.767777609	0.58704732	0.923350719	0.695487465	0.615341993	0.709621478	0.699140124	0.528924241	0.616849307	0.645506376	0.56092148	0.612341996	0.805771995	0.544616598	0.544546754	0.769680033	0.647156833	0.525840305	0.592533847	0.589448176	0.842349386	0.675049346	0.689620535	0.666513012	0.620890135	0.861794444	0.697411811	0.76136528	0.645167201	0.844445179	0.828595367	0.697871746	0.59621316	0.701394369	0.738042785	0.825533342	0.873948908	0.69401704	0.831883402	0.893316091	0.612406231	0.807765965	0.66712596	0.804547811	0.749447718	0.696955134	0.598341833	0.632153036	0.669509466	0.80230132	0.627869237	0.689480829	0.900585564	0.942662764	0.688642458	0.717022944	0.695453193	0.614227609	0.711260862	0.799030674	0.562893916	0.611625963	0.911136345	0.865879662	0.666839865	0.582537913	0.775041094	0.801201923	0.62066521	0.558520432	0.819346273	0.881792547	0.816867524	0.795562592	0.835757526	0.767218303	0.625775985	0.653972157	0.703139913	0.686530446	0.69649619	0.795610472	0.863403362	0.606074508	0.627647679	0.593122241	0.672135995	0.603752842	0.763342992	0.688274309	0.638732819	0.645750717	0.915777188	0.700643313	0.775141312	0.677521882	0.767287976	0.743756105	0.608812727	0.619393932	0.640513705	0.686562956	0.708220849	0.647436456	0.787164704	0.820245498	0.587410063	0.564208799	0.50652394	0.619024392	0.833267825	0.656762641	0.88746285	0.664566788	0.75145254	0.679843017	0.734025277	0.946533261	0.596443394	0.629309526	0.588418707	0.589086493	0.602099342	0.537067648	0.579159969	0.613356635	0.857637491	0.657298767	0.887990215	0.526772273	0.48728418	0.489045524	0.840600123	0.584979314	0.675763754	0.684581472	0.55623102	0.664804427	0.942493238	0.602976239	0.856282607	0.896648204	0.861854006	0.619532367	0.781550915	0.623297005	0.901432468	0.653240737	0.776114967	0.796510159	0.564009829	0.648264427	0.652517606	0.786619241	0.800207861	0.602945306	0.523391109	0.522871972	0.628879917	0.660326434	0.730827932	0.602528597	0.572129006	0.847636909	0.727406783	0.606349796	0.575052381	0.578482689
BISACODYL	0.849273343	0.40810678	0.839602922	0.235112129	0.862487559	0.626735099	1	0.706283996	0.70426597	0.521960608	0.59087577	0.657061382	0.906807015	0.732915696	0.727086958	0.232118637	0.911550171	0.360831937	0.264775142	0.475410169	0.585592502	0.246296654	0.246447604	0.583726109	0.329061166	0.216697397	0.27475469	0.334187309	0.52832085	0.741303942	0.552590505	0.856997922	0.320991081	0.652821561	0.481577023	0.670347899	0.907745383	0.522670789	0.708101198	0.729596742	0.452564401	0.642606358	0.640878254	0.532782477	0.585494764	0.592672429	0.527612902	0.549756458	0.309417193	0.582084549	0.570234712	0.57813844	0.663440581	0.58161024	0.865000813	0.787729017	0.734024512	0.566796398	0.71629406	0.565838497	0.557180005	0.622977359	0.60052298	0.615030226	0.644617387	0.310012189	0.624111184	0.583194621	0.846556659	0.961449276	0.638193396	0.56879086	0.539303658	0.667272385	0.5844132	0.605016032	0.599300839	0.846687833	0.566978918	0.559885708	0.575865511	0.559811497	0.581509054	0.533560947	0.710089626	0.836482988	0.663674319	0.565948668	0.671110868	0.5772259	0.548054758	0.320691467	0.505446471	0.337857117	0.751668465	0.909437975	0.513066766	0.55653217	0.488099458	0.491691181	0.582029783	0.70916616	0.622246779	0.684786233	0.587994773	0.715001888	0.527256034	0.90819349	0.534629484	0.87039135	0.603717146	0.709373245	0.458794756	0.5317758	0.720539122	0.244929481	0.198634141	0.727716283	0.596492484	0.888489414	0.566018096	0.704396335	0.598835069	0.638713096	0.605008303	0.617103776	0.501647623	0.770354785	0.657403663	0.935263595	0.84871303	0.23419203	0.751215543	0.508660433	0.561774865	0.568470533	0.664190254	0.218918983	0.176675187	0.178654078	0.502963659	0.849087335	0.724445942	0.564265191	0.243875651	0.901914061	0.613089764	0.471804749	0.541124618	0.570671684	0.545780091	0.332619696	0.522418328	0.969917424	0.634321314	0.743135564	0.544882025	0.515326716	0.25096283	0.512357764	0.51519971	0.605364721	0.657015089	0.290040788	0.215703543	0.213174957	0.682943627	0.636404839	0.580321872	0.471649653	0.743893542	0.568064001	0.621055974	0.570269044	0.898102244	0.259534704
DIACETAMATE	0.630964516	0.533476531	0.632603905	0.369118836	0.638955208	0.733998861	0.706283996	1	0.907010784	0.412191936	0.740609795	0.544211046	0.647755345	0.68428365	0.681509369	0.397949615	0.695747669	0.445000592	0.39552914	0.733931952	0.616215385	0.396214409	0.396278595	0.598379452	0.445762828	0.366712302	0.409416015	0.407645451	0.70517101	0.852778431	0.792707649	0.656939048	0.433669711	0.656202803	0.706985153	0.891878561	0.700185003	0.676605658	0.872684417	0.599291643	0.71270652	0.917331115	0.562360687	0.705863711	0.652330955	0.812445704	0.623978742	0.665888047	0.408403636	0.625597049	0.814278307	0.611218645	0.912367778	0.853154581	0.730402181	0.577102441	0.575524491	0.729520195	0.528164935	0.810245032	0.717174211	0.692113714	0.795388263	0.840394715	0.539050521	0.40864302	0.839860334	0.778975624	0.682330831	0.703489588	0.675520738	0.659120061	0.776184218	0.471384784	0.569324067	0.610968933	0.4630971	0.677196599	0.743214844	0.718266883	0.713503858	0.620998143	0.675377654	0.562203309	0.523352958	0.624947382	0.592460574	0.829014197	0.550157681	0.770912329	0.696854911	0.40945747	0.746803704	0.416542163	0.588423784	0.688722768	0.588940517	0.827285618	0.749134451	0.750224393	0.672809362	0.878085235	0.595109325	0.585588707	0.570229812	0.971220776	0.42645635	0.729481042	0.790966673	0.681862207	0.856319294	0.546211435	0.578112675	0.724282843	0.506603296	0.384262373	0.348665992	0.527889261	0.62318199	0.669824447	0.70809899	0.576862233	0.597509676	0.552217176	0.584552538	0.71512231	0.410517238	0.569284555	0.468776511	0.674962594	0.60271559	0.372537587	0.529458351	0.739605964	0.687284403	0.799592463	0.808450505	0.366495713	0.32516287	0.326571036	0.644483575	0.720013929	0.565471416	0.821367031	0.380413796	0.695947885	0.740433451	0.732843841	0.694674489	0.717047126	0.689568094	0.426381219	0.603336143	0.699126656	0.673119641	0.563357118	0.746458188	0.706228091	0.391773116	0.761239177	0.781580879	0.614842893	0.886288372	0.425551839	0.379509504	0.363376323	0.508281744	0.543479473	0.8173882	0.718353913	0.526573577	0.759692276	0.891507502	0.442177912	0.634455754	0.398002651
ENTACAPONE	0.611241511	0.570865249	0.612348531	0.387874769	0.621923891	0.767777609	0.70426597	0.907010784	1	0.431839803	0.775866527	0.567511399	0.650588231	0.709884495	0.70882032	0.410381016	0.699772132	0.457270168	0.411420063	0.704001439	0.637194112	0.409724271	0.40975265	0.647727119	0.468806075	0.388494528	0.44030022	0.416628011	0.715247157	0.822149001	0.757987795	0.677062832	0.448757322	0.69308806	0.710912912	0.883302593	0.704909879	0.676134841	0.919470246	0.631132003	0.675007781	0.847163899	0.590110723	0.704454387	0.669260881	0.776620638	0.646035641	0.692347346	0.430846692	0.65624827	0.796009444	0.664508059	0.888759007	0.794805213	0.704869438	0.604135827	0.595090908	0.744854072	0.544245184	0.797842481	0.732577738	0.72759937	0.75486046	0.810644359	0.558842495	0.431107494	0.802545475	0.780227454	0.669920446	0.700884157	0.712892755	0.675223607	0.759867688	0.49126999	0.590824173	0.650987027	0.483525555	0.670183954	0.760893472	0.734433034	0.714845744	0.650333366	0.691690266	0.59379483	0.543493738	0.646836441	0.600367593	0.771846985	0.5698797	0.762338651	0.696963403	0.425067656	0.732617234	0.422115429	0.614125643	0.690146068	0.608604413	0.787143305	0.713458719	0.714426787	0.701739107	0.845086391	0.63116922	0.59106891	0.591138371	0.9322547	0.448174886	0.714305974	0.767039732	0.692030726	0.804718844	0.560676323	0.617175256	0.734621824	0.538029995	0.409532134	0.370251468	0.554870895	0.669568297	0.684774312	0.716172645	0.583899633	0.590497571	0.547594984	0.578037797	0.743894533	0.431553943	0.5971046	0.491769865	0.671067921	0.621846563	0.396087697	0.560596887	0.722469694	0.69738049	0.775214308	0.845764381	0.388469087	0.349241884	0.350947925	0.660749497	0.691660012	0.579951466	0.778767207	0.404797328	0.702794455	0.758041322	0.700267677	0.693298333	0.723668968	0.700135746	0.440282377	0.626373242	0.697030999	0.711832815	0.573590922	0.742946339	0.721543036	0.414591051	0.744195344	0.744101091	0.661824159	0.860110253	0.451624902	0.399595037	0.385356779	0.527159428	0.534960071	0.795141552	0.696758077	0.558927284	0.750570216	0.841114348	0.462264324	0.642210465	0.423737569
TINIDAZOLE	0.490975934	0.512890043	0.450324109	0.426490178	0.476835059	0.58704732	0.521960608	0.412191936	0.431839803	1	0.53555203	0.79841277	0.581694906	0.507951027	0.493500686	0.349186459	0.496636306	0.607041341	0.437405563	0.275510891	0.688457995	0.393550819	0.393628027	0.627864559	0.523856892	0.364918209	0.437828081	0.589633114	0.519047579	0.426967903	0.378563485	0.591892973	0.529469499	0.685216135	0.361800572	0.412202663	0.509475208	0.534751127	0.481329487	0.676510917	0.268972063	0.369103563	0.732493485	0.525555027	0.665160286	0.402098901	0.602327167	0.586934583	0.551931056	0.65510671	0.335764883	0.609933828	0.400797192	0.340324774	0.452014791	0.638157631	0.710869683	0.511227123	0.747097841	0.35919135	0.540949554	0.630498927	0.426364218	0.417393046	0.789527296	0.550470147	0.416862203	0.482168576	0.429202681	0.499751934	0.654390898	0.637527111	0.345335167	0.782494663	0.7299618	0.675351911	0.894491919	0.424749346	0.503827527	0.547777194	0.572469936	0.633252718	0.622133439	0.655951074	0.763298124	0.607144966	0.723279143	0.330006679	0.768080045	0.492131232	0.55459827	0.576386199	0.292162989	0.581100153	0.679306081	0.475815578	0.622908342	0.33613286	0.306301161	0.320637022	0.621039867	0.42537707	0.708198486	0.718114872	0.739351722	0.421351203	0.964892413	0.477334667	0.303935487	0.58015298	0.392431514	0.752875305	0.545992992	0.490671321	0.676731567	0.414515571	0.351367586	0.719966558	0.645408179	0.560312944	0.568759937	0.724557751	0.684933131	0.728870396	0.698570293	0.578332621	0.961150433	0.634018626	0.755712193	0.501539836	0.557384819	0.38734789	0.594230671	0.294833882	0.5858883	0.345055538	0.540583954	0.368945257	0.345937386	0.347796555	0.541042889	0.445812136	0.729160133	0.36151399	0.414719365	0.541669931	0.563381417	0.259199201	0.538791285	0.548805796	0.541695006	0.570062413	0.618581826	0.521619928	0.656405894	0.706454701	0.463327153	0.471976764	0.413069847	0.307805695	0.306630243	0.639862814	0.441093368	0.440995087	0.333538282	0.362344179	0.781194097	0.711404546	0.409863784	0.271593105	0.571634527	0.500972163	0.389922171	0.934359097	0.490868069	0.426157435
NITRENDIPINE	0.491538045	0.769433007	0.475946258	0.574809908	0.494052823	0.923350719	0.59087577	0.740609795	0.775866527	0.53555203	1	0.626381643	0.574631966	0.695137326	0.687077898	0.577660276	0.578251678	0.64792166	0.598834211	0.664244609	0.740734975	0.587952819	0.587867547	0.712132811	0.669609498	0.571762133	0.630215354	0.597420313	0.866419279	0.667273354	0.70490038	0.613032679	0.640677338	0.790567901	0.752340638	0.786350876	0.607611704	0.853753714	0.834816374	0.629844335	0.647732338	0.710285983	0.666187394	0.843104068	0.819904553	0.707801993	0.782426198	0.857271764	0.622321584	0.747310478	0.693194596	0.749112466	0.776247023	0.715241255	0.565664906	0.57306332	0.600994753	0.798532201	0.562608568	0.715920421	0.909088804	0.87333032	0.688524544	0.729008085	0.624292664	0.626111862	0.71782675	0.803840503	0.529250056	0.576428404	0.84760925	0.821184639	0.690756015	0.520794826	0.704444075	0.734840392	0.559648814	0.526227375	0.819918811	0.88107074	0.802419156	0.741575532	0.793423849	0.702997485	0.5622221	0.598516697	0.635919678	0.702596124	0.625860875	0.802737889	0.867267974	0.612268077	0.673500338	0.602179787	0.605537125	0.568516423	0.716914852	0.731868265	0.688777282	0.692347419	0.863438931	0.699848225	0.70562626	0.611105489	0.696503079	0.747913436	0.554934766	0.586796838	0.674098288	0.64020511	0.725751718	0.579717444	0.820540988	0.84669799	0.528399245	0.602380908	0.551773868	0.557676316	0.769582046	0.608965502	0.876835559	0.597505647	0.694901728	0.615139283	0.674727169	0.898442885	0.546988286	0.568158506	0.522203963	0.549015639	0.552193238	0.581566619	0.52211524	0.653202883	0.827519291	0.683750732	0.870934403	0.572127415	0.528461442	0.530449199	0.814833938	0.550914152	0.610317147	0.709361872	0.596294555	0.623521137	0.921280283	0.656355936	0.865931907	0.884528375	0.836191842	0.630306675	0.734725855	0.5883513	0.830601198	0.590043781	0.779763285	0.803386105	0.604232117	0.696501845	0.701555296	0.726483353	0.820866006	0.643991229	0.57453837	0.568710596	0.563374046	0.597539832	0.747778525	0.652961596	0.516308614	0.863898979	0.74875803	0.548727482	0.535825229	0.617203902
